"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"177",NA,"Rome, Italy",NA,37.19,NA,62.72,70.26,51.33
"178",NA,"Tauranga, New Zealand",70.87,26.04,49.86,73.26,67.88,84.35
"179",NA,"Florence, Italy",70.81,27.63,NA,65.22,73.13,53.36
"180",NA,"Plymouth, United Kingdom",70.7,NA,49.1,58,73.68,84.01
"181",NA,NA,70.68,NA,NA,68.34,NA,110.05
"182",NA,"Reno, NV, United States",70.67,46.95,NA,71.66,71.09,96.91
"183",NA,NA,70.62,20.64,47.19,66.72,69.74,101.06
"184",NA,NA,NA,31.2,52.13,73.62,NA,89.93
"185",NA,"Salzburg, Austria",70.53,32.15,52.54,66.99,68.46,77.81
"186",NA,NA,70.49,36.54,54.57,64.74,79.2,100.36
"187",NA,"Brampton, Canada",70.44,39.17,55.78,69.11,60.26,103.49
"188",NA,NA,70.42,40.41,56.35,70.1,NA,112.62
"189",NA,"Durham, NC, United States",70.37,42.09,NA,80.32,66.25,104.76
"190",NA,"Winnipeg, Canada",70.33,27.37,50.19,70.13,62.04,101.59
"191",NA,"Ann Arbor, MI, United States",70.28,47.97,59.82,74.16,NA,159.99
"192",NA,NA,NA,37.64,54.98,NA,NA,92.73
"193",NA,NA,70.14,32.29,52.4,74.76,58.11,66.7
"194",NA,"Charlotte, NC, United States",70.06,51.42,61.32,69.24,67.63,144.88
"195",NA,"Norwich, United Kingdom",70.06,26.85,49.81,62.4,73.92,79.66
"196",NA,"Gent, Belgium",69.97,NA,49.97,60.18,76.78,77.4
"197",NA,"Exeter, United Kingdom",69.9,31.96,NA,54.86,74.18,NA
"198",NA,"Dortmund, Germany",69.89,21.15,47.04,56.17,60.72,105.62
"199",NA,"Long Beach, CA, United States",69.87,NA,63.9,73.73,NA,110.03
"200",NA,"Bologna, Italy",69.79,26.48,49.49,61.83,74.24,58.89
"201",NA,NA,69.79,55.44,63.07,70.45,70.77,110.05
